Date,Price,Ampirion Load Forecast,PV+Wind Forecast
2012/1/11 18:00,70.99,27710,6702.48
2012/1/11 19:00,62.31,27064.25,6618.105
2012/1/11 20:00,56.18,26020.75,6836.2
2012/1/11 21:00,47.93,24954,7281.8925
2012/1/11 22:00,47.91,23477.75,7999.7425
2012/1/11 23:00,42.48,21096.5,9223.04
2012/1/12 0:00,40.42,18918.5,9981.87
2012/1/12 1:00,34.44,18156.5,11059.8175
2012/1/12 2:00,32.02,18128,12182.29
2012/1/12 3:00,28.89,18612.25,13342.8975
2012/1/12 4:00,29.21,19280.5,14357.3375
2012/1/12 5:00,32.02,20398.75,15481.8175
2012/1/12 6:00,45.21,23854.25,16617.3925
2012/1/12 7:00,52.79,24713.75,17686.9
2012/1/12 8:00,56.42,26318,18840.7595
2012/1/12 9:00,53.36,27537.5,20630.33325
2012/1/12 10:00,49.03,27759.5,22490.6645
2012/1/12 11:00,41.04,27220.25,23901.831
2012/1/12 12:00,39.35,27153.5,24587.94025
2012/1/12 13:00,39.62,26736.5,24714.3945
2012/1/12 14:00,39.35,26033,24125.6495
2012/1/12 15:00,42.43,26973.75,23251.676
2012/1/12 16:00,43.39,27275.75,22230.0355
2012/1/12 17:00,56.18,28274.5,21525.76
2012/1/12 18:00,51.52,28454,20723.04
2012/1/12 19:00,49.04,27805,19823.99
2012/1/12 20:00,47.77,26234.75,18702.0125
2012/1/12 21:00,46.29,25208.25,17677.7425
2012/1/12 22:00,45.54,23481.25,16963.1125
2012/1/12 23:00,39.16,21077.75,16702.9075
2012/1/13 0:00,23.8,19971.5,16910.12
2012/1/13 1:00,18.44,19291,16779.7275
2012/1/13 2:00,16.38,19236.75,16882.9975
2012/1/13 3:00,16.36,19411.25,16972.78
2012/1/13 4:00,18.44,20000.75,17285.9175
2012/1/13 5:00,25.83,21871.5,17369.3325
2012/1/13 6:00,36.74,25074.5,17472.1925
2012/1/13 7:00,45.99,27528,17596.95
2012/1/13 8:00,49.99,28814,17856.873
2012/1/13 9:00,45.04,28931.25,18972.518
2012/1/13 10:00,40.24,29132.5,20412.12325
2012/1/13 11:00,39.4,28783.25,21583.6645
2012/1/13 12:00,38.97,28373.75,22072.445
2012/1/13 13:00,38.89,28019,21748.99925
2012/1/13 14:00,39.42,27680.75,20535.78925
2012/1/13 15:00,44.76,27545,18930.76925
2012/1/13 16:00,44.11,27820.5,17368.7545
2012/1/13 17:00,53.43,28246.25,16853.17
2012/1/13 18:00,51.58,28088.5,16507.84
2012/1/13 19:00,46.93,27440.25,16168.57
2012/1/13 20:00,39.74,25411.25,15754.765
2012/1/13 21:00,38.36,25377.25,15394.67
2012/1/13 22:00,37.75,24710.5,14967.2925
2012/1/13 23:00,30.04,22733.5,14710.5075
2012/1/14 0:00,30.07,20989.75,13870.205
2012/1/14 1:00,28.66,20409.75,13181.965
2012/1/14 2:00,28.02,19716,12511.85
2012/1/14 3:00,29.07,19964.5,11843.545
2012/1/14 4:00,29.47,20265.25,11216.9725
2012/1/14 5:00,30.73,20152,10528.775
2012/1/14 6:00,31.21,20209.25,9868.7
2012/1/14 7:00,32.1,21117,9152.12
2012/1/14 8:00,38.21,22659,8647.329
2012/1/14 9:00,40.15,23747.5,9175.97875
2012/1/14 10:00,44.18,24911.25,10318.76925
2012/1/14 11:00,46.01,25433,11452.9415
2012/1/14 12:00,45.53,24969.25,11870.059
2012/1/14 13:00,40.13,24886.5,11378.915
2012/1/14 14:00,43.69,24254.5,10162.362
2012/1/14 15:00,43.38,24186.25,8285.14575
2012/1/14 16:00,43.4,24494.75,6552.07975
2012/1/14 17:00,54.61,25548.25,5903.5075
2012/1/14 18:00,62,25633.25,5604.33
2012/1/14 19:00,51.94,25375.75,5272.625
2012/1/14 20:00,45.92,23926.25,4859.905
2012/1/14 21:00,38.95,23318.25,4412.435
2012/1/14 22:00,44.94,23348,3966.8525
2012/1/14 23:00,39.09,22062,3534.0575
2012/1/15 0:00,38.99,20025.25,3290.9925
2012/1/15 1:00,38.44,19233,2937.78
2012/1/15 2:00,37.05,18946.25,2716.9025
2012/1/15 3:00,34.55,18276.25,2590.16
2012/1/15 4:00,32.73,17840,2493.0925
2012/1/15 5:00,33.52,17533,2414.18
2012/1/15 6:00,33.15,16814.75,2222.585
2012/1/15 7:00,34.16,17092.25,2010.195
2012/1/15 8:00,39.3,17808.5,2010.016
2012/1/15 9:00,41.99,18922.25,3005.95775
2012/1/15 10:00,41.5,19873.5,4440.05675
2012/1/15 11:00,45.14,21020.75,5524.03175
2012/1/15 12:00,43.61,21422.75,6020.08525
2012/1/15 13:00,39.19,21216.5,5736.84775
2012/1/15 14:00,38.4,20893.25,4714.90575
2012/1/15 15:00,38.3,20524.25,3036.12125
2012/1/15 16:00,39.58,20418.75,1576.66275
2012/1/15 17:00,46.65,22378,1260.925
2012/1/15 18:00,56.53,23049,1277.8925
2012/1/15 19:00,56.19,23145.25,1281.73
2012/1/15 20:00,51.97,22369.75,1225.6775
2012/1/15 21:00,45.57,21971.25,1230.98
2012/1/15 22:00,46.7,21951.5,1226.935
2012/1/15 23:00,44.76,20676.5,1364.9825
2012/1/16 0:00,41.94,18797.5,1354.5275
2012/1/16 1:00,39.69,18106.25,1366.2
2012/1/16 2:00,38,17909.25,1410.3
2012/1/16 3:00,33.58,18133.5,1449.64
2012/1/16 4:00,33.47,18458.5,1489.9925
2012/1/16 5:00,36.12,19842.5,1576.7175
2012/1/16 6:00,42.29,23511,1594.97
2012/1/16 7:00,57.96,26555.75,1616.67
2012/1/16 8:00,60.89,27671.25,2034.4135
2012/1/16 9:00,57.05,27517.75,3920.4135
2012/1/16 10:00,56.18,27865.75,5958.0255
2012/1/16 11:00,53.28,28415.5,7299.57175
2012/1/16 12:00,53.19,28446.5,7749.30975
2012/1/16 13:00,51.9,28366.5,7332.426
2012/1/16 14:00,49.08,28292,6104.7225
2012/1/16 15:00,49.93,27871.25,4159.12575
2012/1/16 16:00,52.42,27505.25,2635.62625
2012/1/16 17:00,60.16,28979,2446.005
2012/1/16 18:00,70.45,29186.75,2627.5725
2012/1/16 19:00,61.4,28756,2919.1925
2012/1/16 20:00,53.26,27456,3230.29
2012/1/16 21:00,45.64,26340.75,3515.55
2012/1/16 22:00,46.96,24782.25,3778.985
2012/1/16 23:00,43.37,22652.25,4070.9125
2012/1/17 0:00,40.14,20769.75,3869.2525
2012/1/17 1:00,40.13,20252.25,3968.0625
2012/1/17 2:00,39.93,20389.25,4024.8825
2012/1/17 3:00,38.6,20369.5,4084.5475
2012/1/17 4:00,38.08,20862,4054.3525
2012/1/17 5:00,40.14,21920,3980.5475
2012/1/17 6:00,46.63,24998.25,3868.4225
2012/1/17 7:00,57.39,27453.5,3694.5925
2012/1/17 8:00,59.28,28494.5,3686.336
2012/1/17 9:00,57.98,28246.5,4604.12575
2012/1/17 10:00,54.12,28600.75,5966.55325
2012/1/17 11:00,53.98,28936.5,6939.69175
2012/1/17 12:00,52.22,29020.75,7236.46
2012/1/17 13:00,51.28,28797.25,6767.504
2012/1/17 14:00,49.95,28338,5642.8365
2012/1/17 15:00,50.13,28483.5,3987.86625
2012/1/17 16:00,53.6,28387.75,2662.407
2012/1/17 17:00,61.56,29784.75,2469.505
2012/1/17 18:00,68.2,29938.75,2620.2875
2012/1/17 19:00,59.24,29582.75,2731.37
2012/1/17 20:00,52.15,27799.25,2798.88
2012/1/17 21:00,44.57,26822.5,2843.63
2012/1/17 22:00,46.73,25618.75,2931.3975
2012/1/17 23:00,44.41,23654.25,3076.665
2012/1/18 0:00,42.5,21672,3172.7275
2012/1/18 1:00,41.5,21148,3270.3225
2012/1/18 2:00,40.29,20950.75,3446.4525
2012/1/18 3:00,39.29,21019,3699.585
2012/1/18 4:00,39.38,21140.25,4002.25
2012/1/18 5:00,40.1,22170.5,4427.425
2012/1/18 6:00,45.6,25211.75,4764.3875
2012/1/18 7:00,54.8,27430.5,5199.6775
2012/1/18 8:00,62.75,28532.5,6189.5375
2012/1/18 9:00,57.62,28317,8780.37375
2012/1/18 10:00,47.7,28698.25,11450.25625
2012/1/18 11:00,46.32,29084,12894.32
2012/1/18 12:00,44.59,29204,13446.469
2012/1/18 13:00,44,28977.5,13031.0745
2012/1/18 14:00,43.12,28537,12116.14125
2012/1/18 15:00,44.59,28657,10906.2495
2012/1/18 16:00,44.3,28574.25,10475.7285
2012/1/18 17:00,55.27,29738,11047.0575
2012/1/18 18:00,47.18,29818.75,12177.1425
2012/1/18 19:00,42.05,29300,12808.6525
2012/1/18 20:00,44.19,27390.5,13044.335
2012/1/18 21:00,43.14,26320.5,13057.135
2012/1/18 22:00,41.34,25281.25,12826.67
2012/1/18 23:00,37.31,23395,12635.7075
2012/1/19 0:00,32.18,21889.25,12700.31
2012/1/19 1:00,31,21135.25,11849.9
2012/1/19 2:00,31.05,20698.5,11026.56
2012/1/19 3:00,31.27,20750,10271.4075
2012/1/19 4:00,32.7,20757.5,9416.5575
2012/1/19 5:00,37.46,21767.25,8685.8025
2012/1/19 6:00,46.59,25088.75,8229.4575
2012/1/19 7:00,53.2,27596.75,8069.2175
2012/1/19 8:00,54.73,28565.5,8188.9285
2012/1/19 9:00,54.61,28078.75,8529.0315
2012/1/19 10:00,53.2,28435.75,8892.542
2012/1/19 11:00,55.97,28905.25,9377.74625
2012/1/19 12:00,53.23,28767.25,9768.117
2012/1/19 13:00,50.13,28555,10449.9095
2012/1/19 14:00,45.62,28214,11221.5555
2012/1/19 15:00,42.57,27884,12009.38825
2012/1/19 16:00,42.17,27849,12794.7235
2012/1/19 17:00,50.26,29230.5,13775.77
2012/1/19 18:00,57.97,29534.5,14266.175
2012/1/19 19:00,53.06,28838.75,14130.3525
2012/1/19 20:00,46.78,27306,13939.905
2012/1/19 21:00,43.34,26056.5,13575.28
2012/1/19 22:00,44.33,24791.75,13066.2675
2012/1/19 23:00,40.38,22760.25,12335.43
2012/1/20 0:00,31.8,21616,14198.91
2012/1/20 1:00,31.54,20896.5,13762.4675
2012/1/20 2:00,30.23,20657.75,13783.805
2012/1/20 3:00,27.52,20969,14168.6175
2012/1/20 4:00,28.05,21305.5,14325.1175
2012/1/20 5:00,31.17,22340.5,14583.17
2012/1/20 6:00,39.33,25118.25,14818.8125
2012/1/20 7:00,45.95,27383.5,14843.9575
2012/1/20 8:00,49.91,28343.75,14805.243
2012/1/20 9:00,45.87,28315.25,15266.02625
2012/1/20 10:00,45.62,28723.75,15914.712
2012/1/20 11:00,45.57,28705,15925.48775
2012/1/20 12:00,46.08,28909,15608.97
2012/1/20 13:00,45.91,28490.25,14851.35225
2012/1/20 14:00,46.47,28237.75,13554.93825
2012/1/20 15:00,45.24,27568.5,12015.07375
2012/1/20 16:00,47.48,27698.25,10498.45975
2012/1/20 17:00,55.07,28809.75,9400.475
2012/1/20 18:00,58.46,28761.5,8830.4925
2012/1/20 19:00,51.58,27408,8525.1175
2012/1/20 20:00,46.44,25522.25,8189.7675
2012/1/20 21:00,41.49,24576,7857.5225
2012/1/20 22:00,44.25,23832.25,7513.58
2012/1/20 23:00,44.58,22358.5,7199.505
2012/1/21 0:00,47.55,20750.5,6711.94
2012/1/21 1:00,44,19833,6480.5675
2012/1/21 2:00,39.88,19287.5,6340.665
2012/1/21 3:00,35.11,19390.5,6342.85
2012/1/21 4:00,33.15,19400,6679.2025
2012/1/21 5:00,33.06,19357.75,7489.4625
2012/1/21 6:00,33.07,19083.5,8588.5175
2012/1/21 7:00,35.69,19702.5,9968.0525
2012/1/21 8:00,39.56,21190.5,11749.29425
2012/1/21 9:00,45,22854.75,13695.143
2012/1/21 10:00,43,23894,15351.77525
2012/1/21 11:00,40.91,24214.5,16852.56125
2012/1/21 12:00,40.54,24381.75,18308.573
2012/1/21 13:00,36.89,23654.25,18990.8225
2012/1/21 14:00,33.29,23170,18952.817
2012/1/21 15:00,33.25,22939.25,18660.94075
2012/1/21 16:00,34.41,23194.25,18330.73225
2012/1/21 17:00,45.06,24125.5,18331.4075
2012/1/21 18:00,46.89,24036.5,18412.915
2012/1/21 19:00,42.6,23477.25,18522.145
2012/1/21 20:00,36.94,22137.25,18783.265
2012/1/21 21:00,33.02,21348,19103.18
2012/1/21 22:00,32.74,21218,19575.4625
2012/1/21 23:00,16.92,20201.5,20044.915
2012/1/22 0:00,27.28,19024.5,19911.425
2012/1/22 1:00,12.23,18116.25,20356.235
2012/1/22 2:00,0.01,17441,20831.22
2012/1/22 3:00,-0.05,17393.75,21126.5375
2012/1/22 4:00,-3.53,17210.5,21208.535
2012/1/22 5:00,-10.05,17003.25,21236.5175
2012/1/22 6:00,-100.08,16114.25,21229.55
2012/1/22 7:00,-10,15774.5,21199.17
2012/1/22 8:00,3.05,17533.75,21204.2595
2012/1/22 9:00,0.57,18673.75,21730.7515
2012/1/22 10:00,12.29,20606,22358.59725
2012/1/22 11:00,28.06,22361.5,22060.5935
2012/1/22 12:00,19.94,22697.5,21636.67425
2012/1/22 13:00,16.81,21901.75,20661.038
2012/1/22 14:00,18.53,21702.5,19106.26625
2012/1/22 15:00,18.52,21583,17491.96625
2012/1/22 16:00,22.5,21738.75,16076.39075
2012/1/22 17:00,39.93,22943.5,15291.0375
2012/1/22 18:00,42.89,23024,14841.9625
2012/1/22 19:00,45.32,22828.5,14226.055
2012/1/22 20:00,38.98,21804.5,13398.3425
2012/1/22 21:00,34.4,20883.25,12771.2125
2012/1/22 22:00,36.95,20935.75,12255.595
2012/1/22 23:00,33.24,19774.5,11997.2425
2012/1/23 0:00,31.97,18736,10291.7475
2012/1/23 1:00,31.32,18388,9621.59
2012/1/23 2:00,30.95,18157.5,8978.625
2012/1/23 3:00,28.04,18511.5,8274.3475
2012/1/23 4:00,28.02,18831.5,7727.5125
2012/1/23 5:00,31.63,20181,7182.785
2012/1/23 6:00,41.15,23971,6648.0575
2012/1/23 7:00,52.06,26140.5,6203.02
2012/1/23 8:00,55.01,27492.75,6105.451
2012/1/23 9:00,50.97,27341.5,6463.02475
2012/1/23 10:00,50.79,27768.25,7094.72675
2012/1/23 11:00,51.51,28245,7838.95525
2012/1/23 12:00,50.06,28213,8167.236
2012/1/23 13:00,47.9,27970.25,7939.46675
2012/1/23 14:00,46.82,27890.5,7223.11225
2012/1/23 15:00,45.07,27697.25,6112.33975
2012/1/23 16:00,47.42,27364.75,5304.59575
2012/1/23 17:00,55.05,28223.25,4620.395
2012/1/23 18:00,60.2,28200.75,4538.3975
2012/1/23 19:00,55.15,27546.75,4581.7975
2012/1/23 20:00,47.41,25964,4618.64
2012/1/23 21:00,40.57,24751.75,4566.775
2012/1/23 22:00,39.69,23785,4469.17
2012/1/23 23:00,37.44,22560.75,4170.0325
2012/1/24 0:00,40.23,21587.5,3819.285
2012/1/24 1:00,38.35,20600,3684.59
2012/1/24 2:00,35.81,20160,3533.735
2012/1/24 3:00,34.42,20405,3423.8775
2012/1/24 4:00,35.16,20708.5,3215.1775
2012/1/24 5:00,37.34,21895.5,3044.6875
2012/1/24 6:00,42,25458.5,2827.9725
2012/1/24 7:00,55.07,27907.5,2642.455
2012/1/24 8:00,54.93,28490.75,2582.4015
2012/1/24 9:00,55.93,28584,3071.9515
2012/1/24 10:00,54.27,28957,3752.97225
2012/1/24 11:00,53.99,29407,4483.33175
2012/1/24 12:00,52.97,29682.5,4663.23825
2012/1/24 13:00,52.35,29560.25,4320.05225
2012/1/24 14:00,51.2,29191.75,3588.27575
2012/1/24 15:00,50.97,29167.5,2528.164
2012/1/24 16:00,55.08,28972,1654.627
2012/1/24 17:00,64.5,29846.25,1272.1075
2012/1/24 18:00,67.01,29785.5,1206.555
2012/1/24 19:00,59.32,29128,1121.2625
2012/1/24 20:00,52.99,27611.25,1018.55
2012/1/24 21:00,47.96,26229.25,930.9075
2012/1/24 22:00,47.96,25229.75,872.1575
2012/1/24 23:00,44.61,23013.5,891.785
2012/1/25 0:00,41.8,21597.25,675.0625
2012/1/25 1:00,39.48,20990.25,662.86
2012/1/25 2:00,38.27,20484.25,681.99
2012/1/25 3:00,37.18,20539.25,709.835
2012/1/25 4:00,37,20783.25,745.16
2012/1/25 5:00,38.5,21945.25,786.0075
2012/1/25 6:00,43.16,25482.5,881.005
2012/1/25 7:00,58.01,28202.75,1037.19
2012/1/25 8:00,58.04,28750,1533.241
2012/1/25 9:00,55.07,28792.25,2989.4615
2012/1/25 10:00,51.5,29247,4880.636
2012/1/25 11:00,50.24,29652,6105.7035
2012/1/25 12:00,47.51,29863.25,6566.6855
2012/1/25 13:00,45.87,29763,6225.10875
2012/1/25 14:00,45.13,29311.75,5344.62125
2012/1/25 15:00,45.11,29246.75,4031.52325
2012/1/25 16:00,46.52,29009.75,3079.524
2012/1/25 17:00,58.02,29980.75,2976.2425
2012/1/25 18:00,66.09,30019,3447.735
2012/1/25 19:00,53.99,29431.5,3887.0825
2012/1/25 20:00,47.16,27788.75,4211.14
2012/1/25 21:00,45.35,26443.5,4483.675
2012/1/25 22:00,42.52,25362,4723.1275
2012/1/25 23:00,40.28,23042.5,4849.8875
